Folder Pairs
H:\xampp\htdocs\mbo.eg\,\\internet10\my_business_online\prev_2\

Relative path,Name,Size,Category (F10),Action (F10),Name,Size
,contact.php,"15,825",!=,update ->,contact.php,"15,794",
,footer.php,"31,326",!=,update ->,footer.php,"31,277",
,form_page.php,"17,707",only <-,create ->,,,
,header.php,"15,130",!=,update ->,header.php,"15,084",
,logo.php,"45,059",!=,update ->,logo.php,"42,522",
,social-media-designs.php,"244,988",!=,update ->,social-media-designs.php,"244,957",
,template.php,"3,581",!=,update ->,template.php,"3,550",
,video-creation.php,"41,537",!=,update ->,video-creation.php,"41,506",
,web-design.php,"40,920",!=,update ->,web-design.php,"40,890",
,,,only ->, -,_footer.php,"22,475",
,,,only ->, -,_logo.php,"39,055",
,_____.html,"59,190",only <-,create ->,,,
ar,contact.php,"15,968",!=,update ->,contact.php,"15,934",
ar,footer.php,"31,562",!=,update ->,footer.php,"31,510",
ar,form_page.php,"20,325",only <-,create ->,,,
ar,header.php,"15,577",!=,update ->,header.php,"15,529",
ar,logo.php,"45,444",!=,update ->,logo.php,"42,889",
ar,social-media-designs.php,"276,884",!=,update ->,social-media-designs.php,"276,850",
ar,template.php,"3,635",!=,update ->,template.php,"3,601",
ar,video-creation.php,"43,400",!=,update ->,video-creation.php,"43,366",
ar,web-design.php,"46,517",!=,update ->,web-design.php,"46,484",
ar,,,only ->, -,_footer.php,"22,528",
ar,,,only ->, -,_logo.php,"39,401",
css,style.css,"47,696",!=,update ->,style.css,"47,197",
css,_temp.min.css,"1,484",only <-,create ->,,,
img,up-button.svg,806,only <-,create ->,,,
img\logo-gallery,logo-gallery_070_ahram-logo-final-1.jpg,"8,651",only <-,create ->,,,
img\logo-gallery,logo-gallery_071_el-tawheed-logo-final.jpg,"7,395",only <-,create ->,,,
img\logo-gallery,logo-gallery_072_future-limo-logo-final.jpg,"11,660",only <-,create ->,,,
img\logo-gallery,logo-gallery_073_onyx-logo-final.jpg,"8,267",only <-,create ->,,,
img\logo-gallery,logo-gallery_074_rosalinda-logo-final.jpg,"12,485",only <-,create ->,,,
img\vid-dep,23-4-2019.txt,812,only <-,create ->,,,
js,mobile-detect.min.js,"38,438",only <-,create ->,,,
js,script.min.js,"18,294",!=,update ->,script.min.js,"14,442",
